letter	frequency
Face with tears of Joy	5211
Heavy Black Heart	0
Black Heart Suits	0
Smiling face with heart-shaped eyes	3690
Smiling face with smiling eyes	1961
face throwing a kiss	2025
two hearts	1653
white smiling face	0
grinning face with smiling eyes	1120
winking face	665
thumbs up sign	643
relieved face	476
smiling face with sunglasses	1175
victory hand	0
smiling face with open mouth and smiling eyes	794
sparkling hearts	476
face with stuck out tongue and winking eye	561
smiling face with open mouth	274
laughing	601
smiling cat face with heart-shaped eyes	239
grinning face	472
kissing face with closed eyes	318
smiling face with halo	617
cat face with tears of joy	86
kissing face with smiling eyes	181
ok hand sign	1034
pensive face	264
smirking face	413
smiling face with open mouth and cold sweat	707
expressionless face	226
confused face	71
neutral face	96
sleepy face	661
face stuck out tongue and tightly closed eyes	341
face with cold sweat	137
persevering face	119
face with stuck-out tongue	160
grimacing face	199
anguisehd face	93
dizzy face	64
face with open mouth	38
hushed face	30
Loudly crying face	767
unamused face	325
weary face	481
crying face	405
broken heart	226
disappointed face	167
face savouring delicious food	917
face screaming in fear	260
pouting face	76
disappointed but relieved face	242
tired face	122
face with look of triumph	137
face with medical mask	221
angry face	58
confounded face	85
face with open mouth and cold sweat	122
fearful face	70
worried face	37
