letter	frequency
0x1F602	0.01
1F628	0.01
1F630	0.01
1F616	0.01
1F620	0.01
1F637	0.01
1F624	0.01
1F62B	0.01
1F625	0.01
1F621	0.01
1F631	0.01
1F60B	0.02
1F61E	0.01
1F494	0.01
1F622	0.01
1F629	0.01
1F612	0.01
1F62D	0.02
1F62F	0.01
1F62E	0.01
1F635	0.01
1F627	0.01
1F62C	0.01
1F61B	0.01
1F614	0.01
1F623	0.01
1F613	0.01
1F61D	0.02
1F62A	0.01
1F610	0.01
1F615	0.01
1F611	0.02
1F605	0.01
1F60F	0.01
1F44C	0.03
1F619	0.01
1F639	0.01
1F607	0.02
1F61A	0.01
1F600	0.01
1F63B	0.01
1F606	0.01
1F603	0.01
1F61C	0.01
1F496	0.01
1F604	0.02
270C	0
1F60E	0.03
1F60C	0.01
1F44D	0.02
1F609	0.02
1F601	0.03
263A	0
1F495	0.04
1F618	0.05
1F60A	0.05
1F60D	0.09
2665	0
2764	0
1F602	0.13
